model,subject,condition,mu_r2,beta_r2
labram,17,random_71,-0.5687029664005052,0.020080583063069146
labram,18,random_71,-0.5766331143854633,0.05657704671874564
labram,19,random_71,0.28013066067387815,0.23903075741257673
labram,21,random_71,0.3124834656310792,0.4625758470616662
labram,22,random_71,-1.2763607828205332,0.054214913371141815
labram,25,random_71,-0.022533184830183073,-0.3346993323897698
labram,26,random_71,0.3856685404759701,0.8217425128351437
labram,29,random_71,-0.11454484168365786,0.4109829866240394
labram,1,random_113,0.061944989457350275,-0.29495674770478053
labram,3,random_113,-0.23014844366111897,0.1611846554906633
labram,6,random_113,-0.7140395566893176,0.028762878106846967
labram,8,random_113,0.23702329462516736,-0.27071640152798904
labram,9,random_113,-0.23428827521841478,0.5610331508758423
labram,11,random_113,-0.026484752748655804,-0.4137684581319334
labram,12,random_113,0.03602102281348463,-0.31713311955890755
labram,14,random_113,0.26545579700404787,-0.392615942553205
labram,15,random_113,-0.3757869603384909,0.1732168857224845
labram,16,random_113,-0.02102187606045236,-1.2423091472112389
labram,17,random_113,-0.5846995813360809,0.010800607005709506
labram,18,random_113,-0.5449889038697557,-0.10060901993470073
labram,19,random_113,0.28408847434790074,0.22932754813489065
labram,21,random_113,0.3164441449269463,0.4643367482419889
labram,22,random_113,-1.2419493982592344,-0.39118116253443613
labram,25,random_113,-0.028706118833271566,-0.6400427110320306
labram,26,random_113,0.3841406668844053,0.8056849918202833
labram,29,random_113,-0.1629869037920999,0.4191826971842306
csbrain,1,clean,-0.048639405311965644,-0.6027450795834761
csbrain,3,clean,-0.038593395483318416,0.11979811906238502
csbrain,6,clean,-0.4405493887031575,-0.40207739520453245
csbrain,8,clean,-0.04395504924078408,-0.6634283073003293
csbrain,9,clean,-0.14350204073761685,0.4704877855498836
csbrain,11,clean,-0.3143512088534397,-0.2715896805021303
csbrain,12,clean,-0.005080154002236048,-0.49741922662911353
csbrain,14,clean,-0.1534906894395458,-0.32151341176613735
csbrain,15,clean,-0.6734118244948444,-0.12747946737167082
csbrain,16,clean,-0.3624477564845763,-0.9370743261811012
csbrain,17,clean,-3.1877573581337764,-1.643749804495374
csbrain,18,clean,-0.3705648248151836,-0.5507069958854831
csbrain,19,clean,-0.23075577031873196,0.20408810635915353
csbrain,21,clean,-0.34803557451071576,0.0205223915112982
csbrain,22,clean,-0.7704526683531332,-0.46548199520609
csbrain,25,clean,-0.44306120260495585,-1.102388375502601
csbrain,26,clean,-0.13625991922374436,-0.1939924780876432
csbrain,29,clean,-0.37525653961768324,-0.07382823889266277
csbrain,1,frozen_erased,-0.07303679534523111,-2.1813097542833653
csbrain,3,frozen_erased,-0.5821840131745295,-0.14006769085074233
csbrain,6,frozen_erased,-0.09818952286527738,-0.06226394666801882
csbrain,8,frozen_erased,-0.2612905844993656,-4.472171171714433
csbrain,9,frozen_erased,-0.403688733405432,-0.013851301711518937
csbrain,11,frozen_erased,-0.45850177679051174,-0.27329741808089536
csbrain,12,frozen_erased,-0.26621091250371265,-0.2369508944938694
csbrain,14,frozen_erased,-0.30904849783382926,-1.231445217942683
csbrain,15,frozen_erased,-0.18064777559098055,-0.3010550763071902
csbrain,16,frozen_erased,-0.6162959156884629,-0.25962490509070757
csbrain,17,frozen_erased,-0.38130144413690337,-7.219463006612456
csbrain,18,frozen_erased,-0.9998560564244248,-1.0930391994685063
csbrain,19,frozen_erased,-0.07659100054252899,-0.337517897750339
csbrain,21,frozen_erased,-0.005312575781613038,-1.6120541678034055
csbrain,22,frozen_erased,-2.190369751264201,-0.9868205995835448
csbrain,25,frozen_erased,-0.6381545439576366,-1.282506293404202
csbrain,26,frozen_erased,-0.4345481806991811,-0.4099802653134099
csbrain,29,frozen_erased,-0.0582469692133869,-0.3971060821052801
csbrain,1,recovered,-0.1647488507531618,-0.4902708997711287
csbrain,3,recovered,-0.2246619941185577,0.08733062576275274
csbrain,6,recovered,-0.4970441258445535,-1.0849884112359338
csbrain,8,recovered,-0.045452152952850655,-0.4477455074406351
csbrain,9,recovered,-0.3030809220150754,0.5667242625205049
csbrain,11,recovered,-0.23890348859899357,-0.3532462397889935
csbrain,12,recovered,-0.04169291499328365,-0.840338697670864
csbrain,14,recovered,-0.16454036136875372,-0.01296488371772897
csbrain,15,recovered,-0.9465317548665451,-0.2065440788830235
csbrain,16,recovered,-0.19889865357925474,-1.2755896248541507
csbrain,17,recovered,-1.8163643970967511,-1.7245562962949084
csbrain,18,recovered,-0.38137726786803894,-0.4396260553841562
csbrain,19,recovered,-0.3223974212174685,-0.024637208464713733
csbrain,21,recovered,-0.46414100863576335,-0.016662083153905716
csbrain,22,recovered,-1.4486414421861773,-0.40085618516965815
csbrain,25,recovered,-0.40166785579186204,-0.9801679034294175
csbrain,26,recovered,-0.2490502763653779,-0.11136977371488377
csbrain,29,recovered,-0.44411301279055393,-0.04529347860466615
